index,artist,date,has_audio,has_video,link,rating,title,total_downloads,uploader
10148,Christina Hiro,2017-07-19,False,False,patches.php?mode=show&unit=G3&ID=10148,,Square Bass,46,Christina Hiro
10146,Vince Pastano,2017-07-14,True,False,patches.php?mode=show&unit=G3&ID=10146,5.0,Stupendo live Modena Park arpeggios guitar intro,140,An Stevens
10137,Arctic Monkeys,2017-07-06,True,False,patches.php?mode=show&unit=G3&ID=10137,,Do I Wanna  Know,97,Joan
9923,Audioslave,2017-05-19,False,False,patches.php?mode=show&unit=G3&ID=9923,,Like A Stone - Verse,277,fingerdish
9924,Audioslave,2017-05-19,False,False,patches.php?mode=show&unit=G3&ID=9924,,Like A Stone - Chorus,212,fingerdish
9925,Audioslave,2017-05-19,False,False,patches.php?mode=show&unit=G3&ID=9925,4.0,Like A Stone - Bridge/Solo,268,fingerdish
9920,Pink Floyd,2017-05-16,False,False,patches.php?mode=show&unit=G3&ID=9920,5.0,Th Dark Side Of The Moon,400,Chastel98
9913,Slash,2017-05-09,False,True,patches.php?mode=show&unit=G3&ID=9913,5.0,Sweet child o' mine,871,An Stevens
9907,Steve Stevens,2017-05-07,False,True,patches.php?mode=show&unit=G3&ID=9907,5.0,Top Gun,342,An Stevens
9897,Pink Floyd,2017-05-06,False,True,patches.php?mode=show&unit=G3&ID=9897,5.0,Another brick in the wall,638,An Stevens
9899,Brian May,2017-05-06,False,True,patches.php?mode=show&unit=G3&ID=9899,5.0,The show is go on!!!!,359,An Stevens
9900,An Stevens,2017-05-06,False,True,patches.php?mode=show&unit=G3&ID=9900,,Surf tone Misirlou,150,An Stevens
9901,An Stevens,2017-05-06,False,True,patches.php?mode=show&unit=G3&ID=9901,5.0,Satriani Summer Song Style,225,An Stevens
9902,An Stevens,2017-05-06,False,True,patches.php?mode=show&unit=G3&ID=9902,5.0,Stef Burns Style/Jeff Beck,210,An Stevens
9884,just my own patch,2017-05-02,True,False,patches.php?mode=show&unit=G3&ID=9884,,Metal Rhythm,341,iamnottellingyo...
9876,Zoom and Zoom Official Artists,2017-04-28,False,False,patches.php?mode=show&unit=G3&ID=9876,5.0,Zoom Original Presets (G2 and G5 converted for G3X,813,Zoom
9864,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9864,,Original Clean Fenrder,481,Tomiz
9865,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9865,,Steve Vai Clean Carvin legacy,226,Tomiz
9866,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9866,4.0,Acoustica  near original,298,Tomiz
9867,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9867,,Steve Vai legacy carvin,180,Tomiz
9868,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9868,,Dist./Soling voice for songs 1,152,Tomiz
9869,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9869,,Termolo Rock,155,Tomiz
9870,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9870,,Soling 2,140,Tomiz
9871,Me,2017-04-26,False,True,patches.php?mode=show&unit=G3&ID=9871,,Folk/Solo folk,163,Tomiz
9844,hank marvin and the shadows,2017-04-14,False,False,patches.php?mode=show&unit=G3&ID=9844,,the shadows the full monty,329,spinner snake
9843,the shadows,2017-04-12,False,False,patches.php?mode=show&unit=G3&ID=9843,3.0,the shadows,297,d d
9838,PANTERA,2017-04-10,False,True,patches.php?mode=show&unit=G3&ID=9838,4.7,HEAVY METAL hard rock,915,gabryga76
9833,Tak matsumoto,2017-04-09,False,False,patches.php?mode=show&unit=G3&ID=9833,,Tak matsumoto   1992,206,KBS brother
9831,Soda Stereo,2017-04-08,False,False,patches.php?mode=show&unit=G3&ID=9831,,Signos,172,Rod Castler
