,preserve,discover,total
452,0.0,0.0,0.0
1216,0.3333333333333333,0.0,0.16666666666666666
2599,0.0,0.0,0.0
2302,0.0,0.0,0.0
349,0.0,0.0,0.0
1493,0.0,0.3333333333333333,0.2
1019,0.0,0.5,0.25
651,0.5,0.0,0.2
1948,0.0,0.0,0.0
697,0.0,0.0,0.0
863,0.5,0.0,0.25
2191,0.0,0.6666666666666666,0.3333333333333333
1132,0.0,0.0,0.0
1959,0.0,0.0,0.0
813,0.0,0.0,0.0
2610,0.0,0.5,0.25
978,0.0,0.0,0.0
1483,0.0,0.3333333333333333,0.16666666666666666
2460,0.5,0.3333333333333333,0.4
950,0.0,0.0,0.0
1859,0.0,0.0,0.0
1528,0.5,0.0,0.25
97,0.5,0.0,0.25
519,0.0,0.0,0.0
2543,0.3333333333333333,0.3333333333333333,0.3333333333333333
853,0.3333333333333333,0.3333333333333333,0.3333333333333333
2261,0.0,0.3333333333333333,0.16666666666666666
643,0.5,0.5,0.5
305,0.5,0.0,0.25
2247,0.0,0.0,0.0
2478,1.0,0.5,0.6666666666666666
343,0.0,0.0,0.0
776,0.0,0.0,0.0
9,0.5,0.0,0.25
1645,0.0,0.6666666666666666,0.3333333333333333
660,0.0,0.0,0.0
375,0.0,0.0,0.0
2131,0.0,0.5,0.25
1335,0.0,0.0,0.0
2598,0.0,0.0,0.0
185,0.6666666666666666,0.0,0.3333333333333333
441,0.0,1.0,0.5
1914,0.0,0.0,0.0
1389,0.0,0.0,0.0
243,0.0,0.0,0.0
831,0.0,0.0,0.0
2558,0.0,0.0,0.0
890,1.0,0.0,0.4
1538,0.0,0.3333333333333333,0.16666666666666666
2214,0.5,0.0,0.25
1578,0.3333333333333333,0.0,0.16666666666666666
2394,1.0,0.3333333333333333,0.6
93,0.0,0.0,0.0
1332,0.0,0.6666666666666666,0.3333333333333333
1548,0.0,0.3333333333333333,0.2
1920,0.0,0.0,0.0
2571,0.0,0.0,0.0
1566,0.5,0.0,0.25
1938,0.6666666666666666,0.0,0.3333333333333333
1070,0.0,0.3333333333333333,0.2
211,0.5,0.0,0.2
849,0.3333333333333333,0.3333333333333333,0.3333333333333333
518,0.0,0.0,0.0
104,0.0,0.5,0.25
2288,0.5,0.6666666666666666,0.6
1364,0.0,0.6666666666666666,0.4
1116,0.0,0.0,0.0
872,0.0,0.0,0.0
429,0.0,0.0,0.0
2361,0.5,0.0,0.25
32,0.0,0.0,0.0
2434,0.0,0.0,0.0
1872,0.3333333333333333,0.3333333333333333,0.3333333333333333
361,0.0,0.3333333333333333,0.2
2041,0.0,0.0,0.0
1260,0.0,0.0,0.0
1981,0.6666666666666666,0.0,0.3333333333333333
1925,0.0,0.0,0.0
1552,1.0,0.3333333333333333,0.6
1203,0.5,0.0,0.25
1165,0.3333333333333333,0.3333333333333333,0.3333333333333333
1226,0.0,0.0,0.0
2343,0.0,0.0,0.0
1666,0.3333333333333333,0.0,0.16666666666666666
1107,0.0,0.0,0.0
1377,0.5,0.0,0.2
2166,0.0,0.5,0.25
1820,0.0,0.0,0.0
2600,0.0,0.0,0.0
1266,0.3333333333333333,0.0,0.16666666666666666
479,0.3333333333333333,0.6666666666666666,0.5
312,0.3333333333333333,0.0,0.16666666666666666
1113,0.0,0.3333333333333333,0.2
2390,0.0,0.0,0.0
62,0.0,0.3333333333333333,0.2
537,0.5,0.0,0.25
496,0.5,0.5,0.5
1965,0.3333333333333333,0.0,0.16666666666666666
1614,0.0,0.3333333333333333,0.16666666666666666
